datetime,symbol,open,high,low,close,volume
2018-09-19 19:00:00,VANTAGE:SP500,2910.85,2934.95,2907.4,2934.85,0.0
2018-09-20 19:00:00,VANTAGE:SP500,2934.0,2941.4,2926.9,2928.5,0.0
2018-09-23 19:00:00,VANTAGE:SP500,2924.25,2925.1,2912.4,2921.5,0.0
2018-09-24 19:00:00,VANTAGE:SP500,2921.15,2929.1,2913.15,2917.5,0.0
2018-09-25 19:00:00,VANTAGE:SP500,2917.4,2931.0,2902.65,2905.9,0.0
2018-09-26 19:00:00,VANTAGE:SP500,2905.9,2926.65,2902.15,2915.65,0.0
2018-09-27 19:00:00,VANTAGE:SP500,2915.65,2920.2,2902.65,2914.85,0.0
2018-09-30 19:00:00,VANTAGE:SP500,2917.9,2937.15,2917.65,2924.65,0.0
2018-10-01 19:00:00,VANTAGE:SP500,2924.65,2931.35,2913.15,2925.5,0.0
2018-10-02 19:00:00,VANTAGE:SP500,2925.5,2940.0,2920.15,2921.65,0.0
2018-10-03 19:00:00,VANTAGE:SP500,2921.65,2921.65,2882.9,2905.15,0.0
2018-10-04 19:00:00,VANTAGE:SP500,2905.15,2910.8,2868.15,2889.3,0.0
2018-10-07 19:00:00,VANTAGE:SP500,2889.8,2893.85,2861.65,2888.2,0.0
2018-10-08 19:00:00,VANTAGE:SP500,2888.2,2894.3,2868.9,2881.9,0.0
2018-10-09 19:00:00,VANTAGE:SP500,2881.9,2885.8,2766.15,2766.95,0.0
2018-10-10 19:00:00,VANTAGE:SP500,2766.95,2794.55,2708.15,2746.65,0.0
2018-10-11 19:00:00,VANTAGE:SP500,2746.65,2782.7,2729.9,2766.35,0.0
2018-10-14 19:00:00,VANTAGE:SP500,2767.9,2774.9,2741.65,2743.25,0.0
2018-10-15 19:00:00,VANTAGE:SP500,2743.25,2816.3,2741.65,2813.7,0.0
2018-10-16 19:00:00,VANTAGE:SP500,2813.7,2821.85,2780.65,2813.5,0.0
2018-10-17 19:00:00,VANTAGE:SP500,2813.5,2813.5,2753.4,2772.35,0.0
2018-10-18 19:00:00,VANTAGE:SP500,2772.35,2797.4,2759.15,2764.65,0.0
2018-10-21 19:00:00,VANTAGE:SP500,2755.4,2779.5,2747.15,2754.25,0.0
2018-10-22 19:00:00,VANTAGE:SP500,2754.25,2754.9,2689.65,2743.55,0.0
2018-10-23 19:00:00,VANTAGE:SP500,2743.55,2748.5,2650.9,2672.9,0.0
2018-10-24 19:00:00,VANTAGE:SP500,2672.9,2722.15,2657.4,2679.3,0.0
